EXP,plant,rep,PEG,Temp,Weiss,Hoaglands,IFW,FFW,SFFW,RFFW,CFW,TDW,SDW,RDW,TWC,SWC,RWC,DR:S,WCR:S ,WU,RL,RSA,RAD,RV,RT,CFW/WU
2E,Bow,5,0%,18°C,3,Hg50,0.223,0.528,0.382,0.146,0.305,0.0555,0.039,0.0165,0.4725,0.343,0.1295,0.423076923,0.37755102,10.33,56.2089,15.3192,0.8675,0.332,282,0.029516129
2E,B289,1,0%,18°C,3,Hg50,0.247,0.607,0.458,0.149,0.36,0.0643,0.0417,0.0226,0.5427,0.4163,0.1264,0.541966427,0.303627192,48.33,83.2326,20.6264,0.7888,0.407,440,0.007448276
3E,B285,1,0%,18°C,1,Hg50,0.293,0.54,0.39,0.15,0.247,0.0482,0.0383,0.0099,0.4918,0.3517,0.1401,0.25848564,0.398350867,8.67,31.809,7.1419,0.7147,0.128,224,0.0285
1E,B289,2,0%,18°C,3,Hg50,0.391,0.797,0.602,0.195,0.406,0.0709,0.0526,0.0183,0.7261,0.5494,0.1767,0.347908745,0.321623589,20.00,116.8724,22.6765,0.6176,0.35,747,0.0203
2E,B285,1,0%,18°C,3,Hg50,0.4,0.998,0.675,0.323,0.598,0.0825,0.0605,0.022,0.9155,0.6145,0.301,0.363636364,0.489829129,17.33,46.499,25.0294,1.7134,1.072,893,0.0345
1E,Ant,1,0%,18°C,3,Hg50,0.436,0.965,0.649,0.316,0.529,0.6545,0.631,0.0235,0.3105,0.018,0.2925,0.037242472,16.25,19.00,91.9424,38.6285,1.3373,1.291,1572,0.027842105
3E,Ant,1,0%,18°C,1,Hg50,0.454,0.91,0.615,0.295,0.456,,0.602,,,0.013,,,,17.67,,,,,,0.025811321
2E,Ant,5,0%,18°C,3,Hg50,0.456,0.998,0.667,0.331,0.542,0.0874,0.0624,0.025,0.9106,0.6046,0.306,0.400641026,,19.33,74.5623,33.0452,1.4107,1.165,1315,0.028034483
1E,Bow,2,0%,18°C,3,Hg50,0.471,0.997,0.712,0.285,0.526,0.0817,0.0606,0.0211,0.9153,0.6514,0.2639,0.348184818,0.405127418,21.00,69.221,30.9682,1.4241,1.103,865,0.025047619
2E,Ant,3,0%,18°C,3,Hg50,0.478,1.011,0.67,0.341,0.533,0.0934,0.0655,0.0279,0.9176,0.6045,0.3131,0.425954198,0.517948718,21.33,41.64,34.0705,2.6045,2.218,1134,0.024984375
3E,Ant,5,0%,18°C,1,Hg50,0.487,1.277,0.822,0.455,0.79,0.1272,0.0917,0.0355,1.1498,0.7303,0.4195,0.387131952,0.574421471,28.67,,,,,,0.02755814
2E,B289,3,0%,18°C,3,Hg50,0.497,1.121,0.863,0.258,0.624,0.0894,0.0657,0.0237,1.0316,0.7973,0.2343,0.360730594,0.2938668,31.33,104.274,23.8297,0.7274,0.433,345,0.019914894
