Genotype,rep,germinationdate,Age_one,Age_two,Group,Algae,Initalweight,WeightPreStress,Totalfreshweight,Totalshootweight,Totalrootweight,Totaldryweight,Shootdryweight,Rootdryweight,Green/yellow,Healthy/wilted
Bowman,1,16/01/2024,11,25,A,H,0.462,2.298,1.83,1.111,0.719,0.2359,0.1642,0.0717,y,w
Bowman,2,16/01/2024,10,24,A,H,0.501,2.342,1.609,0.881,0.728,0.2236,0.1431,0.0805,y,w
Bowman,3,16/01/2024,12,26,A,M,0.519,2.169,1.416,0.758,0.658,0.2129,0.1455,0.0674,y,w
Bowman,4,16/01/2024,12,26,A,H,0.462,2.273,1.454,0.802,0.652,0.2129,0.1455,0.0674,y,w
Bowman,5,16/01/2024,12,26,A,H,0.462,1.829,1.199,0.627,0.572,0.2331,0.1514,0.0817,y,w
Bowman,6,16/01/2024,12,26,A,M,0.47,1.87,1.268,0.647,0.621,0.1822,0.1148,0.0674,y,w
Bowman,7,16/01/2024,NA,NA,A,NA,0.422,0,0,0,0,0,NA,NA,y,w
Bowman,8,16/01/2024,NA,NA,A,NA,0.426,0,0,0,0,0,NA,NA,y,w
Bowman,9,16/01/2024,10,24,A,M,0.484,1.981,1.115,0.645,0.47,0.1895,0.1243,0.0652,y,w
Bowman,10,16/01/2024,NA,NA,A,NA,0.425,0,0,0,0,0,NA,NA,y,w
Bowman,11,16/01/2024,10,24,A,M,0.466,2.359,1.797,1.134,0.663,0.174,0.1223,0.0517,y,w
Bowman,12,16/01/2024,11,25,A,M,0.453,1.892,1.167,0.582,0.585,0.2485,0.1697,0.0788,y,w
Bowman,13,16/01/2024,NA,NA,A,NA,0.363,0,0,0,0,0,NA,NA,y,w
Bowman,14,16/01/2024,NA,NA,A,NA,0.41,0,0,0,0,0,NA,NA,y,w
Bowman,15,16/01/2024,10,24,A,M,0.49,2.387,1.761,1.003,0.758,0.1938,0.1244,0.0694,y,w
Bowman,16,16/01/2024,10,24,A,M,0.459,2.203,1.423,0.762,0.661,0.2202,0.1482,0.072,g/y,h/w
Bowman,17,16/01/2024,11,25,A,M,0.461,2.156,1.301,0.649,0.652,0.1551,0.0945,0.0606,y,w
Bowman,18,16/01/2024,10,24,A,M,0.489,2.458,1.978,1.133,0.845,0.244,0.1596,0.0844,g/y,h/w
Bowman,19,16/01/2024,10,24,A,M,0.505,2.511,1.954,1.276,0.678,0.2429,0.1664,0.0765,y,w
Bowman,20,16/01/2024,10,24,A,L,0.473,2.283,1.482,0.833,0.649,0.2259,0.1536,0.0723,y,w
Bowman,21,16/01/2024,11,25,A,M,0.461,2.308,1.476,0.788,0.688,0.2134,0.1383,0.0751,y,w
Bowman,22,16/01/2024,10,24,A,L,0.452,2.08,1.193,0.687,0.506,0.1938,0.1327,0.0611,y,w
Bowman,23,16/01/2024,9,23,A,NA,0.482,2.457,1.995,1.227,0.768,0.2643,0.1741,0.0902,g,h/w
Bowman,24,16/01/2024,10,24,A,L,0.495,2.401,0.902,0.508,0.394,0.2766,0.1956,0.081,g/y,h/w
Bowman,25,16/01/2024,10,24,A,M,0.47,2.281,1.745,1.069,0.676,0.2285,0.1558,0.0727,g/y,h/w
Bowman,26,16/01/2024,10,24,A,NA,0.475,1.429,0,0,0,0.1485,0.1026,0.0459,y,w
