Genotype,replicate,W1,W3,W5,W8,W10,W12,W15,W17,W19,ShootWeightG,rootWeightG,leafNumber
Bowman,1,0.174,0.24,0.322,0.457,0.616,0.772,1.102,1.317,1.449,0.973,0.476,5
Bowman,2,0.211,0.274,0.344,0.498,0.664,0.854,1.16,1.371,1.545,1.05,0.495,5
Bowman,3,0.208,0.267,0.311,0.477,0.669,0.826,1.134,1.348,1.52,1.013,0.507,5
Bowman,4,0.271,0.348,0.42,0.579,0.765,1.022,1.331,1.577,1.793,1.164,0.629,4
Bowman,5,0.207,0.29,0.397,0.561,0.74,0.999,1.44,1.723,1.953,1.206,0.747,5
Bowman,6,0.251,0.322,0.436,0.619,0.805,1.046,1.41,1.755,1.94,1.207,0.733,4
Bowman,7,0.254,0.347,0.464,0.612,0.824,1.122,1.564,1.879,2.168,1.407,0.761,6
Bowman,8,0.197,0.273,0.36,0.489,0.668,0.906,1.25,1.519,1.684,1.079,0.605,6
Bowman,9,0.188,0.283,0.392,0.58,0.854,1.164,1.614,1.934,2.218,1.433,0.785,7
Bowman,10,0.149,0.219,0.271,0.38,0.497,0.683,0.964,1.213,1.347,0.906,0.441,4
Bowman,11,0.186,0.254,0.314,0.419,0.57,0.78,1.029,1.335,1.44,0.92,0.52,4
Bowman,12,0.163,0.268,0.362,0.53,0.73,1.02,1.41,1.684,1.913,1.21,0.703,5
Bowman,13,0.164,0.208,0.277,0.385,0.542,0.762,1.075,1.228,1.46,0.97,0.49,4
Bowman,14,0.158,0.222,0.308,0.409,0.541,0.73,1.04,1.255,1.492,0.987,0.505,5
Bowman,15,0.154,0.201,0.271,0.375,0.506,0.698,0.947,1.181,1.341,0.877,0.464,4
Antonella,1,0.195,0.237,0.287,0.361,0.474,0.643,0.885,1.07,1.132,0.768,0.364,6
Antonella,2,0.198,0.238,0.285,0.382,0.5,0.63,0.845,1.133,1.239,0.827,0.412,9
Antonella,3,0.191,0.234,0.216,0.314,0.404,0.507,0.68,0.821,0.894,0.572,0.322,9
Antonella,4,0.267,0.32,0.363,0.48,0.667,0.795,1.061,1.285,1.43,0.916,0.514,8
Antonella,5,0.138,0.164,0.199,0.248,0.318,0.424,0.574,0.738,0.795,0.523,0.272,5
Antonella,6,0.244,0.275,0.325,0.406,0.52,0.661,0.869,1.081,1.233,0.814,0.419,8
Antonella,7,0.15,0.176,0.225,0.261,0.333,0.431,0.567,0.686,0.804,0.507,0.297,7
Antonella,8,0.246,0.293,0.348,0.412,0.535,0.713,0.939,1.176,1.231,0.778,0.453,9
Antonella,9,0.165,0.197,0.239,0.301,0.399,0.523,0.728,0.908,0.989,0.65,0.339,8
Antonella,10,0.187,0.244,0.295,0.383,0.497,0.621,0.882,0.984,1.157,0.739,0.418,8
Antonella,11,0.314,0.364,0.438,0.563,0.746,0.984,1.311,1.608,1.811,1.193,0.618,9
Antonella,12,0.16,0.202,0.247,0.292,0.399,0.518,0.682,0.831,0.975,0.653,0.322,8
Antonella,13,0.205,0.235,0.283,0.364,0.473,0.593,0.782,0.943,1.093,0.748,0.345,8
Antonella,14,0.233,0.279,0.267,0.385,0.475,0.624,0.857,1.081,1.179,0.784,0.395,8
Antonella,15,0.239,0.289,0.361,0.471,0.635,0.818,1.101,1.402,1.461,0.906,0.555,8
Antonella,16,0.198,0.239,0.26,0.382,0.481,0.651,0.918,1.172,1.336,0.824,0.512,8
Antonella,17,0.218,0.269,0.287,0.43,0.546,0.701,0.97,1.179,1.313,0.85,0.463,8
Antonella,18,0.221,0.257,0.312,0.426,0.883,0.709,0.992,1.163,1.35,0.892,0.458,8
Antonella,19,0.15,0.171,0.209,0.274,0.348,0.448,0.605,0.717,0.842,0.546,0.296,7
Antonella,20,0.191,0.211,0.285,0.333,0.42,0.543,0.801,0.928,1.093,0.732,0.361,7
B290,1,0.254,0.306,0.406,0.601,0.828,1.163,1.642,2.015,2.334,1.503,0.831,7
B290,2,0.266,0.335,0.43,0.608,0.816,1.11,1.493,1.74,2.117,1.387,0.73,7
B290,3,0.22,0.263,0.181,0.523,0.716,0.966,1.28,1.505,1.757,1.154,0.603,5
B290,4,0.237,0.293,0.285,0.505,0.678,0.909,1.297,1.633,1.895,1.196,0.699,5
B290,5,0.242,0.27,0.379,0.602,0.818,1.088,1.55,1.955,2.221,1.411,0.81,5
B290,6,0.215,0.293,0.257,0.543,0.715,0.942,1.287,1.51,1.755,1.115,0.64,5
B290,7,0.259,0.323,0.432,0.609,0.863,1.259,1.82,2.235,2.59,1.553,1.037,7
B290,8,0.202,0.258,0.35,0.525,0.742,1.017,1.438,1.726,1.914,1.22,0.694,5
B290,9,0.236,0.316,0.361,0.659,0.937,1.305,1.771,2.151,2.467,1.587,0.88,5
B290,10,0.217,0.28,0.38,0.573,0.802,1.104,1.587,1.91,2.321,1.421,0.9,5
B290,11,0.236,0.342,0.433,0.655,0.92,1.304,1.922,2.425,2.751,1.738,1.013,7
B290,12,0.217,0.295,0.294,0.58,0.794,1.1,1.539,1.907,2.204,1.412,0.792,5
B290,13,0.25,0.331,0.429,0.634,0.86,1.197,1.688,2.065,2.404,1.474,0.93,6
B290,14,0.24,0.271,0.432,0.653,0.918,1.21,1.732,2.141,2.403,1.52,0.883,5
B290,15,0.226,0.327,0.348,0.543,0.77,1.066,1.568,1.95,2.301,1.417,0.884,6
B290,16,0.216,0.303,0.346,0.605,0.827,1.157,1.636,1.935,2.175,1.414,0.761,5
B290,17,0.235,0.301,0.335,0.611,0.83,1.126,1.58,2.01,2.285,1.44,0.845,5
B290,18,0.269,0.337,0.368,0.661,0.896,1.178,1.668,2.116,2.313,1.378,0.935,6
