Plant ,Pot ,No,MaxZS,T,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PHTot,PHAv,s.e.,Variance,,,
b.wt,1,1,5,5,13,13.5,14.5,48,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,25.6,6.662431988,221.94,,,
b.wt,1,2,3,5,4,31.5,45,37,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.5,25.5,7.073895674,250.2,,,
b.wt,1,3,3,5,13,30,30,41,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,24.8,5.195382565,134.96,,,
b.wt,2,1,3,7,5,39,13,26.5,29,10,43,NA,NA,NA,NA,NA,NA,NA,165.5,23.64285714,5.139596472,184.9081633,,,
b.wt,2,2,3,8,23,14,49.5,28,21,21,14,32.5,NA,NA,NA,NA,NA,NA,203,25.375,3.837265872,117.796875,,,
b.wt,2,3,3,6,10,6,29,26,37,20,NA,NA,NA,NA,NA,NA,NA,NA,128,21.33333333,4.382203065,115.2222222,,,
b.wt,3,1,2,4,26,7,28.5,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,26,6.322084308,159.875,,,
b.wt,3,2,2,2,21,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,15.5,3.889087297,30.25,,,
b.wt,3,3,3,5,16,10,21,50,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,22.2,6.414982463,205.76,,,
b.wt,4,1,2,3,25,45,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,26,8.730533902,228.6666667,,,
b.wt,4,2,2,4,7,13,43,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,21,6.819090848,186,,,
b.wt,4,3,2,4,22,7,42,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,24.25,6.228713752,155.1875,,,
b.wt,5,1,2,8,20,11,7,16,44,7,14,25.5,NA,NA,NA,NA,NA,NA,144.5,18.0625,4.045094927,130.9023438,,,
b.wt,5,2,2,7,26.5,5,7,12,16,38,23,NA,NA,NA,NA,NA,NA,NA,127.5,18.21428571,4.108052251,118.1326531,,,
b.wt,5,3,2,9,11.5,10.5,10,34.5,25,7.5,8,10,38,NA,NA,NA,NA,NA,155,17.22222222,3.772145402,128.0617284,,,
b.wt,6,1,2,4,23,19,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,15,3.391164992,46,,,
b.wt,6,2,2,5,4,26,11,18,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.5,16.9,3.790514477,71.84,,,
b.wt,6,3,2,2,43,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5,27.75,10.78337841,232.5625,,,
b.wt,7,1,2,3,5,21,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,24,9.741092797,284.6666667,,,
b.wt,7,2,2,3,43,8,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,26.33333333,8.277591348,205.5555556,,,
b.wt,7,3,2,4,4,14,31,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,16.75,4.839615171,93.6875,,,
b.wt,7,4,2,3,10,16,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,20.33333333,6.152385867,113.5555556,,,
b.wt,8,1,7,5,6,10,24,32.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,21.2,5.07267188,128.66,,,
b.wt,8,2,3,9,11.5,36,20,20,13,8,33,16,23,NA,NA,NA,NA,NA,180.5,20.05555556,2.971515435,79.4691358,,,
b.wt,8,3,3,10,8,5,12,9,15,9,9,20,42,10,NA,NA,NA,NA,139,13.9,3.213876164,103.29,,,
b.wt,9,1,2,7,7,7,10,28,16.5,23,10,NA,NA,NA,NA,NA,NA,NA,101.5,14.5,2.897923254,58.78571429,,,
b.wt,9,2,3,3,7,18,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.5,24.83333333,10.39853978,324.3888889,,,
b.wt,9,3,2,4,13,19,15,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.5,15.875,1.095088467,4.796875,,,
b.290,1,1,7,2,40,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5,26.25,9.722718241,189.0625,,,
b.290,1,2,7,5,24,40.8,21,38,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.6,32.72,3.777237085,71.3376,,,
b.290,1,3,7,5,19,10.5,16.5,31,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,22,3.865229618,74.7,,,
b.290,2,1,7,3,12,21,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,25.33333333,7.517879922,169.5555556,,,
b.290,2,2,7,3,36,25.5,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.8,29.93333333,2.563128875,19.70888889,,,
b.290,2,3,7,3,23.5,46,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,31.83333333,5.813458205,101.3888889,,,
b.290,3,1,7,2,34,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,36.5,1.767766953,6.25,,,
b.290,3,2,7,4,24,35,32,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.5,31.625,2.30064529,21.171875,,,
b.290,4,1,7,3,26,54,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,40.33333333,6.605272866,130.8888889,,,
b.290,4,2,6,5,4,24.5,6,32.5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,19,5.244044241,137.5,,,
b.290,4,3,6,5,26.5,4,5,26,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5,18.5,5.173006863,133.8,,,
b.290,5,1,7,2,34,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,37.5,2.474873734,12.25,,,
b.290,5,2,7,2,50.5,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,39.5,7.778174593,121,,,
