ImageN,Time (h),ZT,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SDtoLD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD,LDtoSD
NA,NA,NA,Ws2,Ws2,Ws2,Ws2,Ws2,Ws2,Ws2,Ws2,elf3,elf3,elf3,elf3,elf3,elf3,elf3,elf3,phyB,phyB,phyB,phyB,phyB,phyB,phyB,phyB,phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,Ws2,Ws2,Ws2,Ws2,Ws2,Ws2,Ws2,Ws2,elf3,elf3,elf3,elf3,elf3,elf3,elf3,elf3,phyB,phyB,phyB,phyB,phyB,phyB,phyB,phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,Ws2,Ws2,Ws2,Ws2,Ws2,Ws2,Ws2,elf3,elf3,elf3,elf3,elf3,elf3,phyB,phyB,phyB,phyB,phyB,phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,Ws2,Ws2,Ws2,Ws2,Ws2,Ws2,Ws2,Ws2,elf3,elf3,elf3,elf3,elf3,elf3,elf3,phyB,phyB,phyB,phyB,phyB,phyB,phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB,elf3phyB
1,72,0,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR1,GR2,GR3,GR4,GR5,GR5,GR6,GR7,GR8,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR1,GR2,GR3,GR4,GR5,GR6,GR1,GR2,GR3,GR4,GR5,GR6,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR1,GR2,GR3,GR4,GR5,GR6
2,73,1,0.067,0.088,0,0.17,0.052,0.025,0.041,0.056,0.043,0.038,0.04,0.028,0.077,0,0.049,0,0,0,0,0.064,0,0.026,0.068,0.084,0.392,0.018,0.069,0.34,0.039,0.07,0.039,0.081,0,0.042,0.072,0.014,0.035,0.137,0.08,0.005,0.017,0.086,0.009,0.079,0,0,0.161,0.031,0.106,0.207,0.115,0.008,0.14,0.175,0.011,0.01,0.014,0.032,0.064,0,0.052,0.13,0.152,0.095,0.003,0,0.04,0,0.012,0,0,0,0,0,0,0.131,0,0,0.03,0,0,0,0,0,0,0,0.026,0,0,0.02,0.001,0.023,0.127,0.072,0.068,0.022,0.192,0.086,0.026,0,0.067,0.083,0.025,0,0.037,0.02,0.014,0.013,0.053,0.069,0.024,0.001,0.007,0.018,0.026,0.069,0.05,0.037,0
3,74,2,0.008,0.114,0.037,0.023,0.001,0,0,0.067,0,0,0,0,0,0.041,0,0.084,0.217,0,0.116,0.099,0.033,0,0.124,0.112,0.159,0.031,0.037,0.055,0.046,0,0.046,0.11,0.022,0.058,0.112,0.176,0.186,0.108,0.02,0.094,0.064,0.049,0.065,0.023,0.04,0.002,0.048,0.114,0.022,0.102,0.039,0.079,0.169,0.041,0.037,0.069,0.158,0.072,0.108,0.121,0.015,0.179,0.151,0.042,0.146,0,0,0,0.01,0.038,0,0,0,0,0,0.027,0.013,0.002,0,0,0,0.054,0,0,0.046,0,0,0.028,0,0.035,0.034,0.026,0.511,0.034,0.102,0.046,0.107,0.052,0,0.044,0,0,0.031,0,0,0.028,0.054,0,0.065,0.054,0.024,0,0.015,0.064,0.016,0.068,0.068,0.052,0.04
4,75,3,0.071,0.028,0,0,0,0.082,0.006,0,0,0,0,0,0,0.078,0,0,0.052,0.052,0.018,0.014,0.047,0.029,0.065,0.064,0,0,0.104,0.077,0.004,0.207,0.045,0.056,0,0.03,0.095,0.086,0.01,0.03,0.007,0.142,0.069,0,0.028,0.037,0.061,0,0.076,0.089,0.049,0.006,0.045,0.021,0.062,0.005,0.053,0.139,0.009,0.036,0.201,0.078,0.036,0.055,0.006,0.113,0.235,0,0,0,0.05,0.021,0,0.043,0.022,0,0.013,0.04,0,0,0.07,0.057,0.029,0,0.013,0.07,0,0.027,0,0,0.044,0.019,0,0.039,0.081,0.08,0.202,0,0.119,0.048,0,0,0,0.091,0.076,0,0,0.013,0.068,0,0.006,0.122,0.087,0,0.064,0.009,0.044,0.051,0.086,0.063,0.033
5,76,4,0,0,0,0,0,0.001,0,0,0.015,0.113,0.016,0.008,0,0,0.07,0.221,0,0.091,0,0.047,0.004,0.006,0.038,0.05,0.013,0.03,0.044,0.031,0.022,0.026,0.029,0.059,0.075,0.015,0.034,0.002,0.005,0.033,0.053,0.019,0.018,0.044,0.007,0.038,0.029,0.122,0,0.043,0.01,0.07,0.029,0.051,0.068,0.022,0,0.045,0.018,0.052,0.055,0.028,0.069,0.15,0.05,0,0.016,0,0,0.013,0,0,0,0,0,0,0,0.026,0,0.026,0,0,0,0.035,0.027,0,0,0,0,0.109,0,0.057,0,0.048,0,0.013,0.207,0.012,0,0.084,0,0,0.006,0.022,0.117,0.052,0,0.102,0.014,0.015,0.051,0.065,0.015,0,0.033,0.009,0.076,0,0.119,0.115,0
6,77,5,0,0.057,0.001,0,0.026,0.026,0,0,0,0,0.035,0.017,0,0.035,0,0,0.072,0.011,0,0.179,0.094,0.024,0.022,0.096,0.067,0.065,0.045,0.048,0.188,0.15,0,0.039,0.178,0.02,0,0.074,0.053,0,0.016,0.06,0.007,0,0.048,0.022,0.019,0,0.054,0.031,0.038,0.02,0.005,0.051,0.222,0.025,0.004,0.084,0.014,0.034,0.034,0.018,0.287,0.064,0.093,0.035,0.066,0,0.047,0,0.023,0.081,0,0,0.011,0,0,0.074,0.025,0,0,0,0,0.073,0.04,0,0,0.079,0.193,0,0,0.013,0.003,0.152,0.176,0.065,0,0.02,0.112,0.076,0.058,0,0,0.132,0,0,0.049,0.093,0.016,0.033,0.025,0.037,0,0.054,0.003,0.065,0,0.034,0.036,0.026,0
7,78,6,0.047,0.113,0,0.057,0.042,0.062,0.012,0,0,0,0.025,0.008,0.1,0.289,0.066,0,0.035,0.081,0,0.029,0.012,0.056,0.025,0.029,0.101,0.009,0.061,0.073,0.022,0.085,0.02,0.008,0.088,0,0.031,0.05,0.054,0.013,0,0.007,0.05,0.018,0.009,0.093,0.067,0.083,0.1,0.044,0.04,0.059,0.06,0.079,0.08,0.208,0.012,0.135,0.058,0.071,0.02,0.039,0.141,0.204,0.093,0,0.305,0,0,0.035,0,0,0,0.135,0,0.031,0,0.066,0.036,0,0.017,0.063,0,0.034,0.046,0,0.071,0.034,0.025,0,0.026,0.017,0.015,0.205,0.027,0,0.101,0.021,0.068,0,0.001,0,0.168,0,0.032,0.057,0,0,0.086,0.015,0.097,0.12,0,0.113,0.091,0.007,0.022,0.035,0.119,0.154,0.115
8,79,7,0.06,0.052,0.071,0.056,0.059,0.057,0,0,0,0.04,0.025,0,0,0.107,0.011,0,0.1,0.04,0.013,0.029,0.182,0.024,0.103,0.039,0,0.037,0.07,0.108,0.021,0.085,0.018,0.025,0.074,0.17,0.025,0.006,0.083,0.083,0.004,0.007,0.104,0,0,0.281,0.149,0.168,0.185,0.073,0.039,0.118,0.075,0.073,0.024,0.01,0.045,0.113,0.095,0.084,0.098,0.044,0.216,0.123,0.044,0.099,0.153,0,0.05,0,0,0,0,0,0.038,0,0,0,0.032,0,0.004,0.012,0.028,0.018,0.013,0,0.053,0.018,0.011,0.102,0.047,0.001,0.056,0.027,0,0,0,0,0.304,0,0.076,0,0.024,0,0,0,0.017,0,0.001,0.009,0.017,0,0,0.078,0.183,0.086,0,0.034,0.017,0.002,0
9,80,8,0,0.045,0.034,0,0,0.002,0.043,0,0,0.012,0,0,0.057,0.001,0,0.012,0.084,0.042,0,0.061,0.079,0,0.025,0.091,0.005,0.051,0.069,0.012,0,0.17,0.064,0.144,0.053,0.048,0.019,0.047,0,0,0.025,0.042,0.031,0.21,0.046,0.073,0.054,0.054,0.146,0.006,0.147,0.221,0.057,0,0.026,0.043,0.014,0.05,0.03,0.091,0.041,0.032,0.095,0.254,0.109,0.183,0.14,0,0,0,0.022,0,0,0.032,0,0,0.013,0,0,0.015,0,0,0.156,0.076,0.018,0,0,0.053,0.039,0.055,0,0.017,0,0.094,0.078,0,0,0.002,0.159,0.068,0.182,0.049,0.006,0.043,0,0,0.052,0.037,0.033,0.14,0.063,0,0.352,0.209,0.076,0.072,0.031,0.156,0.051,0.026,0.018
